region,year,party_raw,votes,vote_share_pct,seats,vote_delta,vote_share_delta_pct,seats_delta,total_votes_cast,total_valid_votes,total_seats,invalid_votes_total,source_url,region_name,party_code,party_name,election_type,source_type,value
KU018,2012,Christian Democrats in Finland,65,2.9,0,-7,-0.4,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KD,Suomen Kristillisdemokraatit,municipal,official_html,65
KU018,2012,Center Party of Finland,744,32.9,10,-68,-4.3,-1,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KESK,Suomen Keskusta,municipal,official_html,744
KU018,2012,National Coalition Party,516,22.8,6,31,0.6,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KOK,Kansallinen Kokoomus,municipal,official_html,516
KU018,2012,Pirate Party,7,0.3,0,7,0.3,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,PP,Pirate Party,municipal,official_html,7
KU018,2012,True Finns,263,11.6,3,174,7.6,2,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,PS,Perussuomalaiset,municipal,official_html,263
KU018,2012,Social Democratic Party of Finland,394,17.4,5,24,0.5,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,394
KU018,2012,Left Alliance,124,5.5,2,-39,-2.0,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,VAS,Vasemmistoliitto,municipal,official_html,124
KU018,2012,Green League,149,6.6,1,-44,-2.2,-1,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,VIHR,Vihreä liitto,municipal,official_html,149
KU019,2012,Center Party of Finland,469,25.4,5,-88,-5.2,-2,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,KESK,Suomen Keskusta,municipal,official_html,469
KU019,2012,National Coalition Party,483,26.1,6,19,0.7,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,KOK,Kansallinen Kokoomus,municipal,official_html,483
KU019,2012,True Finns,263,14.2,3,98,5.2,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,PS,Perussuomalaiset,municipal,official_html,263
KU019,2012,Social Democratic Party of Finland,491,26.6,6,38,1.7,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,491
KU019,2012,Left Alliance,142,7.7,1,-42,-2.4,-1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,VAS,Vasemmistoliitto,municipal,official_html,142
KU020,2012,Christian Democrats in Finland,211,2.8,2,-120,-1.2,1,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KD,Suomen Kristillisdemokraatit,municipal,official_html,211
KU020,2012,Center Party of Finland,915,12.1,6,-132,-0.4,-4,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KESK,Suomen Keskusta,municipal,official_html,915
KU020,2012,National Coalition Party,2029,26.7,12,-387,-2.1,-5,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KOK,Kansallinen Kokoomus,municipal,official_html,2029
KU020,2012,Change 2011,27,0.4,0,27,0.4,0,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,OTHER,Change 2011,municipal,official_html,27
KU020,2012,Pirate Party,13,0.2,0,13,0.2,0,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,PP,Pirate Party,municipal,official_html,13
KU020,2012,True Finns,809,10.7,3,581,7.9,2,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,PS,Perussuomalaiset,municipal,official_html,809
KU020,2012,Social Democratic Party of Finland,2482,32.7,15,-379,-1.4,-4,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,2482
KU020,2012,Left Alliance,816,10.8,4,-84,0.0,-1,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,VAS,Vasemmistoliitto,municipal,official_html,816
KU020,2012,Green League,288,3.8,1,-211,-2.2,-2,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,VIHR,Vihreä liitto,municipal,official_html,288
KU046,2012,Christian Democrats in Finland,57,6.4,1,-25,-2.3,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,KD,Suomen Kristillisdemokraatit,municipal,official_html,57
KU046,2012,Center Party of Finland,435,48.9,9,-57,-3.6,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,KESK,Suomen Keskusta,municipal,official_html,435
KU046,2012,True Finns,95,10.7,1,95,10.7,1,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,PS,Perussuomalaiset,municipal,official_html,95
KU046,2012,Social Democratic Party of Finland,296,33.3,6,-56,-4.3,-1,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,296
KU046,2012,Green League,6,0.7,0,6,0.7,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,VIHR,Vihreä liitto,municipal,official_html,6
KU047,2012,Johtti Sapmelaccat rs:n yhteislista,200,17.6,3,200,17.6,3,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,Johtti Sapmelaccat rs:n yhteislista,Johtti Sapmelaccat rs:n yhteislista,municipal,official_html,200
KU047,2012,Christian Democrats in Finland,56,4.9,1,56,4.9,1,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,KD,Suomen Kristillisdemokraatit,municipal,official_html,56
KU047,2012,Center Party of Finland,561,49.3,9,-1,-0.6,-1,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,KESK,Suomen Keskusta,municipal,official_html,561
KU047,2012,National Coalition Party,162,14.2,2,4,0.2,0,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,KOK,Kansallinen Kokoomus,municipal,official_html,162
KU047,2012,Social Democratic Party of Finland,22,1.9,0,-120,-10.7,-2,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,22
KU047,2012,Swedish People's Party in Finland,20,1.8,0,20,1.8,0,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,20
KU047,2012,Green League,116,10.2,2,6,0.4,1,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,VIHR,Vihreä liitto,municipal,official_html,116
KU049,2012,Communist Party of Finland,253,0.2,0,-71,-0.1,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,Communist Party of Finland,Communist Party of Finland,municipal,official_html,253
KU049,2012,Communist Workers Party - For Peace and Socialism,49,0.0,0,-15,-0.0,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,Communist Workers Party - For Peace and Socialism,Communist Workers Party - For Peace and Socialism,municipal,official_html,49
KU049,2012,For The Poor,238,0.2,0,-122,-0.1,-1,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,For The Poor,For The Poor,municipal,official_html,238
KU049,2012,Independence Party,65,0.1,0,26,0.0,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,IND,Independence Party,municipal,official_html,65
KU049,2012,Christian Democrats in Finland,3607,3.1,2,-451,-0.4,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,KD,Suomen Kristillisdemokraatit,municipal,official_html,3607
KU049,2012,Center Party of Finland,4261,3.7,2,-495,-0.5,-1,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,KESK,Suomen Keskusta,municipal,official_html,4261
KU049,2012,National Coalition Party,41357,36.0,29,-1445,-1.7,3,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,KOK,Kansallinen Kokoomus,municipal,official_html,41357
KU049,2012,Labour Party of Finland,63,0.1,0,39,0.0,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,Labour Party of Finland,Labour Party of Finland,municipal,official_html,63
KU049,2012,Change 2011,186,0.2,0,186,0.2,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,OTHER,Change 2011,municipal,official_html,186
KU049,2012,Pirate Party,703,0.6,0,703,0.6,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,PP,Pirate Party,municipal,official_html,703
KU049,2012,True Finns,14228,12.4,10,1057,0.8,3,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,PS,Perussuomalaiset,municipal,official_html,14228
KU049,2012,Social Democratic Party of Finland,15556,13.6,10,-220,-0.4,1,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,15556
KU049,2012,Swedish People's Party in Finland,10987,9.6,7,1127,0.9,1,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,10987
KU049,2012,Left Alliance,3963,3.5,2,-141,-0.2,0,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,VAS,Vasemmistoliitto,municipal,official_html,3963
KU049,2012,Green League,19209,16.7,13,1247,0.9,2,115259,114725,75,534,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_049.html,Espoo,VIHR,Vihreä liitto,municipal,official_html,19209
KU050,2012,Communist Workers Party - For Peace and Socialism,17,0.3,0,-6,-0.1,0,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,Communist Workers Party - For Peace and Socialism,Communist Workers Party - For Peace and Socialism,municipal,official_html,17
KU050,2012,Center Party of Finland,1739,28.1,10,-28,1.6,0,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,KESK,Suomen Keskusta,municipal,official_html,1739
KU050,2012,National Coalition Party,938,15.2,5,-255,-2.7,-1,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,KOK,Kansallinen Kokoomus,municipal,official_html,938
KU050,2012,True Finns,461,7.5,2,280,4.7,1,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,PS,Perussuomalaiset,municipal,official_html,461
KU050,2012,Social Democratic Party of Finland,2069,33.5,13,-352,-2.8,0,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,2069
KU050,2012,Left Alliance,806,13.0,5,-254,-2.9,0,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,VAS,Vasemmistoliitto,municipal,official_html,806
KU050,2012,Green League,149,2.4,0,149,2.4,0,6210,6179,35,31,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_050.html,Eura,VIHR,Vihreä liitto,municipal,official_html,149
KU051,2012,Independence Party,6,0.2,0,6,0.2,0,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,IND,Independence Party,municipal,official_html,6
KU051,2012,Christian Democrats in Finland,27,0.9,0,27,0.9,0,3133,3114,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_051.html,Eurajoki,KD,Suomen Kristillisdemokraatit,municipal,official_html,27
