region,year,party_raw,votes,vote_share_pct,seats,vote_delta,vote_share_delta_pct,seats_delta,total_votes_cast,total_valid_votes,total_seats,invalid_votes_total,source_url,region_name,party_code,party_name,election_type,source_type,value
KU272,2012,True Finns,2138,10.1,5,945,4.8,3,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,PS,Perussuomalaiset,municipal,official_html,2138
KU272,2012,Social Democratic Party of Finland,4013,18.9,10,-49,1.0,1,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,4013
KU272,2012,Sinivalkoiset yhteislista,31,0.1,0,31,0.1,0,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,Sinivalkoiset yhteislista,Sinivalkoiset yhteislista,municipal,official_html,31
KU272,2012,Swedish People's Party in Finland,2504,11.8,6,-206,-0.1,0,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,2504
KU272,2012,Left Alliance,1032,4.9,2,-258,-0.8,-1,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,VAS,Vasemmistoliitto,municipal,official_html,1032
KU272,2012,Green League,848,4.0,2,89,0.6,1,21386,21273,51,113,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_272.html,Kokkola,VIHR,Vihreä liitto,municipal,official_html,848
KU273,2012,Center Party of Finland,679,30.6,7,-260,-13.3,-3,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,KESK,Suomen Keskusta,municipal,official_html,679
KU273,2012,National Coalition Party,273,12.3,3,44,1.6,1,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,KOK,Kansallinen Kokoomus,municipal,official_html,273
KU273,2012,True Finns,328,14.8,3,328,14.8,3,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,PS,Perussuomalaiset,municipal,official_html,328
KU273,2012,Social Democratic Party of Finland,164,7.4,1,-68,-3.4,-1,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,164
KU273,2012,Left Alliance,714,32.2,7,-27,-2.4,0,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,VAS,Vasemmistoliitto,municipal,official_html,714
KU273,2012,Green League,61,2.7,0,61,2.7,0,2240,2219,21,21,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_273.html,Kolari,VIHR,Vihreä liitto,municipal,official_html,61
KU275,2012,Christian Democrats in Finland,94,6.0,1,-1,0.1,0,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,KD,Suomen Kristillisdemokraatit,municipal,official_html,94
KU275,2012,Center Party of Finland,854,54.1,12,-18,0.1,0,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,KESK,Suomen Keskusta,municipal,official_html,854
KU275,2012,National Coalition Party,74,4.7,1,-34,-2.0,0,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,KOK,Kansallinen Kokoomus,municipal,official_html,74
KU275,2012,True Finns,141,8.9,2,141,8.9,2,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,PS,Perussuomalaiset,municipal,official_html,141
KU275,2012,Social Democratic Party of Finland,273,17.3,3,-51,-2.8,-1,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,273
KU275,2012,Left Alliance,143,9.1,2,-74,-4.4,-1,1588,1579,21,9,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_275.html,Konnevesi,VAS,Vasemmistoliitto,municipal,official_html,143
KU276,2012,Center Party of Finland,1775,30.1,11,-195,-4.2,-1,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,KESK,Suomen Keskusta,municipal,official_html,1775
KU276,2012,National Coalition Party,1006,17.1,6,76,0.9,0,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,KOK,Kansallinen Kokoomus,municipal,official_html,1006
KU276,2012,True Finns,1052,17.8,6,708,11.8,4,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,PS,Perussuomalaiset,municipal,official_html,1052
KU276,2012,Social Democratic Party of Finland,1595,27.0,10,-290,-5.7,-2,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,1595
KU276,2012,Left Alliance,131,2.2,0,-34,-0.6,-1,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,VAS,Vasemmistoliitto,municipal,official_html,131
KU276,2012,Green League,341,5.8,2,-11,-0.3,0,5927,5900,35,27,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_276.html,Kontiolahti,VIHR,Vihreä liitto,municipal,official_html,341
KU280,2012,True Finns,6,0.4,0,6,0.4,0,1359,1351,21,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_280.html,Korsnäs,PS,Perussuomalaiset,municipal,official_html,6
KU280,2012,Social Democratic Party of Finland,62,4.6,1,11,0.9,1,1359,1351,21,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_280.html,Korsnäs,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,62
KU280,2012,Swedish People's Party in Finland,1283,95.0,20,-50,-1.3,-1,1359,1351,21,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_280.html,Korsnäs,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,1283
KU284,2012,Center Party of Finland,773,58.4,14,-45,-1.1,0,1326,1324,21,2,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_284.html,Koski Tl,KESK,Suomen Keskusta,municipal,official_html,773
KU284,2012,National Coalition Party,255,19.3,4,-33,-1.7,0,1326,1324,21,2,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_284.html,Koski Tl,KOK,Kansallinen Kokoomus,municipal,official_html,255
KU284,2012,True Finns,110,8.3,1,54,4.2,1,1326,1324,21,2,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_284.html,Koski Tl,PS,Perussuomalaiset,municipal,official_html,110
KU284,2012,Social Democratic Party of Finland,141,10.6,2,-72,-4.8,-1,1326,1324,21,2,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_284.html,Koski Tl,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,141
KU284,2012,Green League,45,3.4,0,45,3.4,0,1326,1324,21,2,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_284.html,Koski Tl,VIHR,Vihreä liitto,municipal,official_html,45
KU285,2012,Independence Party,35,0.1,0,35,0.1,0,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,IND,Independence Party,municipal,official_html,35
KU285,2012,Christian Democrats in Finland,1108,4.5,2,-307,-1.0,0,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,KD,Suomen Kristillisdemokraatit,municipal,official_html,1108
KU285,2012,Center Party of Finland,565,2.3,1,-811,-3.0,-1,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,KESK,Suomen Keskusta,municipal,official_html,565
KU285,2012,National Coalition Party,6422,26.0,13,-859,-2.1,-1,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,KOK,Kansallinen Kokoomus,municipal,official_html,6422
KU285,2012,True Finns,3893,15.8,8,1785,7.6,4,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,PS,Perussuomalaiset,municipal,official_html,3893
KU285,2012,Social Democratic Party of Finland,5547,22.5,12,-2038,-6.9,-4,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,5547
KU285,2012,Swedish People's Party in Finland,267,1.1,1,95,0.4,0,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,267
KU285,2012,Left Alliance,4964,20.1,10,1014,4.8,2,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,VAS,Vasemmistoliitto,municipal,official_html,4964
KU285,2012,Green League,1905,7.7,4,-85,0.0,0,24863,24706,51,157,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_285.html,Kotka,VIHR,Vihreä liitto,municipal,official_html,1905
KU286,2012,Independence Party,119,0.3,0,119,0.3,0,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,IND,Independence Party,municipal,official_html,119
KU286,2012,Christian Democrats in Finland,2843,7.0,4,-380,-0.2,-1,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,KD,Suomen Kristillisdemokraatit,municipal,official_html,2843
KU286,2012,Center Party of Finland,6051,14.9,9,-1827,-2.8,-4,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,KESK,Suomen Keskusta,municipal,official_html,6051
KU286,2012,National Coalition Party,8407,20.7,12,-1401,-1.3,-5,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,KOK,Kansallinen Kokoomus,municipal,official_html,8407
KU286,2012,Kouvolan Sitoutumattomien yhteislista,3831,9.4,5,3831,9.4,5,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,Kouvolan Sitoutumattomien yhteislista,Kouvolan Sitoutumattomien yhteislista,municipal,official_html,3831
KU286,2012,Pirate Party,72,0.2,0,72,0.2,0,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,PP,Pirate Party,municipal,official_html,72
KU286,2012,True Finns,7222,17.7,11,4178,10.9,6,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,PS,Perussuomalaiset,municipal,official_html,7222
KU286,2012,Social Democratic Party of Finland,9155,22.5,14,-2331,-3.3,-6,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,9155
KU286,2012,Left Alliance,1638,4.0,2,-132,0.1,-1,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,VAS,Vasemmistoliitto,municipal,official_html,1638
KU286,2012,Green League,1371,3.4,2,-285,-0.3,0,40913,40709,59,204,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_286.html,Kouvola,VIHR,Vihreä liitto,municipal,official_html,1371
KU287,2012,Christian Democrats in Finland,163,3.7,1,68,1.8,1,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,KD,Suomen Kristillisdemokraatit,municipal,official_html,163
KU287,2012,Center Party of Finland,519,11.9,3,-136,-1.7,-1,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,KESK,Suomen Keskusta,municipal,official_html,519
KU287,2012,National Coalition Party,903,20.7,6,-287,-4.0,-1,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,KOK,Kansallinen Kokoomus,municipal,official_html,903
KU287,2012,True Finns,243,5.6,1,243,5.6,1,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,PS,Perussuomalaiset,municipal,official_html,243
KU287,2012,Social Democratic Party of Finland,168,3.8,1,-88,-1.5,0,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,168
KU287,2012,Swedish People's Party in Finland,2313,53.0,15,-166,1.6,0,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,2313
KU287,2012,Left Alliance,56,1.3,0,-92,-1.8,0,4384,4365,27,19,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_287.html,Kristiinankaupunki,VAS,Vasemmistoliitto,municipal,official_html,56
KU288,2012,Christian Democrats in Finland,348,9.3,2,5,1.0,0,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,KD,Suomen Kristillisdemokraatit,municipal,official_html,348
KU288,2012,Center Party of Finland,345,9.2,2,-131,-2.4,-1,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,KESK,Suomen Keskusta,municipal,official_html,345
KU288,2012,True Finns,51,1.4,0,51,1.4,0,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,PS,Perussuomalaiset,municipal,official_html,51
KU288,2012,Social Democratic Party of Finland,393,10.5,3,-104,-1.6,0,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,393
KU288,2012,Swedish People's Party in Finland,2544,68.0,20,-181,1.7,1,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,Swedish People's Party in Finland,Swedish People's Party in Finland,municipal,official_html,2544
KU288,2012,Green League,58,1.6,0,58,1.6,0,3759,3739,27,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_288.html,Kruunupyy,VIHR,Vihreä liitto,municipal,official_html,58
KU290,2012,Christian Democrats in Finland,132,3.0,1,-101,-2.4,-1,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,KD,Suomen Kristillisdemokraatit,municipal,official_html,132
KU290,2012,Center Party of Finland,1817,41.2,15,-355,-9.5,-3,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,KESK,Suomen Keskusta,municipal,official_html,1817
KU290,2012,National Coalition Party,343,7.8,3,-2,-0.3,0,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,KOK,Kansallinen Kokoomus,municipal,official_html,343
KU290,2012,True Finns,867,19.7,7,729,16.4,6,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,PS,Perussuomalaiset,municipal,official_html,867
KU290,2012,Social Democratic Party of Finland,678,15.4,5,-145,-3.8,-2,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,678
KU290,2012,Left Alliance,339,7.7,2,-46,-1.3,-1,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,VAS,Vasemmistoliitto,municipal,official_html,339
KU290,2012,Green League,231,5.2,2,48,1.0,1,4423,4407,35,16,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_290.html,Kuhmo,VIHR,Vihreä liitto,municipal,official_html,231
KU291,2012,Independence Party,3,0.2,0,3,0.2,0,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,IND,Independence Party,municipal,official_html,3
KU291,2012,Christian Democrats in Finland,50,3.5,1,-67,-4.1,0,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,KD,Suomen Kristillisdemokraatit,municipal,official_html,50
KU291,2012,Center Party of Finland,467,32.9,7,-9,2.0,0,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,KESK,Suomen Keskusta,municipal,official_html,467
KU291,2012,National Coalition Party,415,29.3,6,-123,-5.6,-2,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,KOK,Kansallinen Kokoomus,municipal,official_html,415
KU291,2012,True Finns,191,13.5,3,191,13.5,3,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,PS,Perussuomalaiset,municipal,official_html,191
KU291,2012,Social Democratic Party of Finland,292,20.6,4,-69,-2.8,-1,1425,1418,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_291.html,Kuhmoinen,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,292
KU297,2012,Communist Party of Finland,191,0.4,0,-27,-0.0,0,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,Communist Party of Finland,Communist Party of Finland,municipal,official_html,191
KU297,2012,Communist Workers Party - For Peace and Socialism,27,0.1,0,27,0.1,0,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,Communist Workers Party - For Peace and Socialism,Communist Workers Party - For Peace and Socialism,municipal,official_html,27
KU297,2012,Christian Democrats in Finland,1952,4.4,2,-538,-0.9,-6,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,KD,Suomen Kristillisdemokraatit,municipal,official_html,1952
KU297,2012,Center Party of Finland,9665,21.9,13,-1538,-2.0,-21,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,KESK,Suomen Keskusta,municipal,official_html,9665
KU297,2012,National Coalition Party,10169,23.0,14,-572,0.1,-8,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,KOK,Kansallinen Kokoomus,municipal,official_html,10169
KU297,2012,Labour Party of Finland,24,0.1,0,5,0.0,0,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,Labour Party of Finland,Labour Party of Finland,municipal,official_html,24
KU297,2012,True Finns,6361,14.4,9,3865,9.1,5,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,PS,Perussuomalaiset,municipal,official_html,6361
KU297,2012,Social Democratic Party of Finland,8761,19.9,12,-480,0.1,-7,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,8761
KU297,2012,Left Alliance,3240,7.3,4,-921,-1.5,-6,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,VAS,Vasemmistoliitto,municipal,official_html,3240
KU297,2012,Green League,3743,8.5,5,-2477,-4.8,-5,44367,44133,59,234,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_297.html,Kuopio,VIHR,Vihreä liitto,municipal,official_html,3743
KU300,2012,Christian Democrats in Finland,199,9.2,2,73,3.7,-1,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,KD,Suomen Kristillisdemokraatit,municipal,official_html,199
KU300,2012,Center Party of Finland,969,44.7,10,-178,-5.1,-4,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,KESK,Suomen Keskusta,municipal,official_html,969
KU300,2012,National Coalition Party,551,25.4,6,56,3.9,1,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,KOK,Kansallinen Kokoomus,municipal,official_html,551
KU300,2012,True Finns,311,14.3,3,-32,-0.5,-1,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,PS,Perussuomalaiset,municipal,official_html,311
KU300,2012,Social Democratic Party of Finland,88,4.1,0,-23,-0.8,-1,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,88
KU300,2012,Left Alliance,22,1.0,0,22,1.0,0,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,VAS,Vasemmistoliitto,municipal,official_html,22
KU300,2012,Green League,28,1.3,0,-21,-0.8,0,2171,2168,21,3,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_300.html,Kuortane,VIHR,Vihreä liitto,municipal,official_html,28
KU301,2012,Christian Democrats in Finland,326,4.4,1,-4,0.4,-1,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,KD,Suomen Kristillisdemokraatit,municipal,official_html,326
KU301,2012,Center Party of Finland,2758,37.3,16,-296,0.5,0,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,KESK,Suomen Keskusta,municipal,official_html,2758
KU301,2012,National Coalition Party,1650,22.3,11,-558,-4.3,-1,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,KOK,Kansallinen Kokoomus,municipal,official_html,1650
KU301,2012,True Finns,1263,17.1,7,572,8.8,4,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,PS,Perussuomalaiset,municipal,official_html,1263
KU301,2012,Social Democratic Party of Finland,1051,14.2,6,-417,-3.5,-2,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,1051
KU301,2012,Left Alliance,352,4.8,2,-108,-0.8,0,7426,7400,43,26,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_301.html,Kurikka,VAS,Vasemmistoliitto,municipal,official_html,352
KU304,2012,Center Party of Finland,188,32.6,6,-13,-4.8,0,578,577,17,1,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_304.html,Kustavi,KESK,Suomen Keskusta,municipal,official_html,188
KU304,2012,National Coalition Party,241,41.8,7,1,-2.9,-1,578,577,17,1,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_304.html,Kustavi,KOK,Kansallinen Kokoomus,municipal,official_html,241
KU304,2012,True Finns,27,4.7,0,27,4.7,0,578,577,17,1,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_304.html,Kustavi,PS,Perussuomalaiset,municipal,official_html,27
KU304,2012,Social Democratic Party of Finland,121,21.0,4,25,3.1,1,578,577,17,1,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_304.html,Kustavi,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,121
KU305,2012,Christian Democrats in Finland,83,1.0,0,-15,-0.2,0,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,KD,Suomen Kristillisdemokraatit,municipal,official_html,83
KU305,2012,Center Party of Finland,4501,54.8,25,-332,-5.6,-3,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,KESK,Suomen Keskusta,municipal,official_html,4501
KU305,2012,National Coalition Party,964,11.7,5,-410,-5.5,-2,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,KOK,Kansallinen Kokoomus,municipal,official_html,964
KU305,2012,True Finns,972,11.8,5,836,10.1,5,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,PS,Perussuomalaiset,municipal,official_html,972
KU305,2012,Social Democratic Party of Finland,681,8.3,3,-42,-0.8,-1,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,681
KU305,2012,Left Alliance,377,4.6,2,19,0.1,0,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,VAS,Vasemmistoliitto,municipal,official_html,377
KU305,2012,Green League,632,7.7,3,162,1.8,1,8239,8210,43,29,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_305.html,Kuusamo,VIHR,Vihreä liitto,municipal,official_html,632
KU309,2012,Constituency association Veli Matti Kuikka,137,4.0,1,137,4.0,1,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,Constituency association Veli Matti Kuikka,Constituency association Veli Matti Kuikka,municipal,official_html,137
KU309,2012,Christian Democrats in Finland,125,3.6,1,-73,-1.9,0,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,KD,Suomen Kristillisdemokraatit,municipal,official_html,125
KU309,2012,Center Party of Finland,1033,30.0,9,119,4.4,1,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,KESK,Suomen Keskusta,municipal,official_html,1033
KU309,2012,National Coalition Party,274,8.0,2,-134,-3.5,-1,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,KOK,Kansallinen Kokoomus,municipal,official_html,274
KU309,2012,Pirate Party,5,0.1,0,5,0.1,0,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,PP,Pirate Party,municipal,official_html,5
KU309,2012,True Finns,516,15.0,4,217,6.6,2,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,PS,Perussuomalaiset,municipal,official_html,516
KU309,2012,Social Democratic Party of Finland,679,19.7,5,-210,-5.2,-2,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,679
KU309,2012,Left Alliance,502,14.6,4,-135,-3.3,-1,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,VAS,Vasemmistoliitto,municipal,official_html,502
KU309,2012,Green League,175,5.1,1,-48,-1.2,0,3457,3446,27,11,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_309.html,Outokumpu,VIHR,Vihreä liitto,municipal,official_html,175
KU312,2012,Christian Democrats in Finland,87,10.9,2,-11,-0.3,0,800,795,17,5,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_312.html,Kyyjärvi,KD,Suomen Kristillisdemokraatit,municipal,official_html,87
KU312,2012,Center Party of Finland,509,64.0,12,13,7.3,2,800,795,17,5,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_312.html,Kyyjärvi,KESK,Suomen Keskusta,municipal,official_html,509
